tracker_id,vehicle_class,speed_mean,speed_max,speed_min,speed_std,acceleration_mean,acceleration_max,acceleration_min,acceleration_std,distance_mean,distance_min,direction_change_mean,direction_change_max,relative_speed_mean,relative_speed_max,relative_speed_min,frames_count
478,car,12.81,17,7,2.53,-0.12,2.0,-2.0,1.21,18.09,15.98,25.02,171.04,-23.3,-17.79,-30.77,26
483,car,16.84,29,5,8.8,-0.72,4.0,-3.0,1.77,20.91,12.5,38.01,127.51,-19.29,-7.64,-36.71,25
485,car,19.36,29,7,5.6,0.28,7.0,-5.0,2.17,18.51,13.58,41.07,174.43,-19.17,-6.56,-36.53,64
487,car,23.86,27,21,2.03,-0.24,1.0,-2.0,0.79,27.9,17.24,16.43,87.69,-13.23,-7.0,-23.22,29
490,car,6.62,9,5,1.33,1.15,5.0,-2.0,2.12,11.06,5.3,56.1,90.2,-30.38,-24.77,-37.0,13
501,truck,30.02,76,8,15.14,-0.13,10.0,-11.0,1.76,106.89,1.02,40.56,178.33,-9.58,42.45,-31.36,337
502,car,41.71,118,12,23.74,0.31,14.0,-12.0,1.78,70.88,2.75,24.31,176.26,1.83,76.22,-31.21,345
519,car,53.39,125,22,25.03,0.41,11.0,-9.0,2.1,104.24,5.02,19.84,174.45,13.33,80.29,-23.35,210
520,car,18.11,32,6,4.7,-0.2,8.0,-4.0,2.14,23.9,15.04,31.11,119.72,-22.19,-8.1,-36.0,46
525,truck,24.67,41,10,10.65,-1.22,7.0,-11.0,3.95,25.19,21.6,63.25,179.94,-15.19,0.53,-32.52,27
538,car,43.07,107,9,21.09,0.3,15.0,-16.0,2.44,64.57,2.66,28.38,174.69,3.17,67.61,-32.35,332
541,car,18.95,23,16,2.09,-0.21,2.0,-2.0,1.03,22.8,18.75,27.52,108.89,-20.58,-10.71,-27.32,19
543,car,55.28,122,25,26.21,0.48,5.0,-4.0,1.42,82.4,18.84,22.9,178.78,15.0,77.43,-25.21,197
550,car,95.57,124,71,14.63,2.07,16.0,-14.0,8.2,95.78,22.86,40.45,111.58,54.91,82.5,32.71,14
552,car,33.38,86,11,17.26,-0.11,16.0,-11.0,1.75,83.08,1.67,34.7,171.35,-6.22,50.25,-28.41,347
555,car,50.03,115,5,25.21,0.5,6.0,-5.0,1.65,93.92,20.13,21.93,157.96,9.48,71.71,-32.6,221
565,car,33.83,38,30,2.26,-0.39,1.0,-2.0,0.85,14.75,3.44,64.42,178.23,-2.61,2.12,-12.18,18
569,car,17.3,33,5,8.14,0.08,9.0,-7.0,2.89,17.46,11.47,58.68,179.28,-21.96,-2.41,-37.11,84
575,car,62.98,159,5,37.67,0.65,14.0,-15.0,2.91,76.2,3.77,28.23,163.77,22.19,117.18,-33.9,199
577,car,25.7,39,14,4.44,0.03,14.0,-15.0,2.31,27.19,2.54,33.6,163.56,-14.62,0.47,-25.95,158
583,car,28.0,41,7,9.38,0.71,20.0,-17.0,5.0,21.17,19.61,37.93,176.22,-8.8,9.52,-34.33,42
585,car,16.11,26,6,6.81,1.22,8.0,-6.0,3.66,16.85,12.97,71.92,178.33,-19.8,-7.68,-27.5,18
591,car,9.95,13,7,1.78,0.11,1.0,-2.0,0.99,28.23,23.61,29.68,124.09,-28.59,-21.53,-32.88,19
597,car,45.23,112,14,25.78,-0.29,10.0,-11.0,1.75,53.4,16.92,27.94,178.79,5.21,73.52,-26.36,311
598,car,51.93,155,23,31.08,-0.36,13.0,-12.0,1.72,67.71,25.81,21.52,134.44,11.97,113.05,-17.22,302
612,car,23.02,27,18,2.79,-0.08,3.0,-2.0,1.14,18.31,15.55,48.17,167.17,-14.06,-9.41,-22.39,53
614,car,76.1,162,34,34.04,0.89,7.0,-7.0,1.58,80.66,9.09,23.11,161.85,34.37,116.41,-0.68,137
617,car,21.06,28,13,4.04,-0.03,2.0,-7.0,1.76,15.01,2.52,42.34,172.31,-14.14,-8.24,-24.2,31
618,car,21.38,33,15,4.97,-0.23,4.0,-6.0,2.35,21.3,19.67,40.92,171.57,-14.64,-5.33,-23.37,26
619,car,34.31,72,5,14.79,0.28,13.0,-14.0,2.67,49.35,2.66,36.05,179.67,-5.65,34.25,-38.14,252
621,car,47.19,113,15,26.68,-0.31,4.0,-4.0,1.28,60.02,16.92,24.17,177.01,6.78,74.37,-25.81,275
625,car,20.73,29,16,3.03,-0.08,4.0,-4.0,2.0,24.72,23.81,46.56,179.03,-20.85,-15.29,-33.47,26
