,speed,speed,speed,speed,acceleration,acceleration,acceleration,acceleration,distance_to_nearest,distance_to_nearest,distance_to_nearest,distance_to_nearest,direction_change,direction_change,direction_change,direction_change,relative_speed,relative_speed,relative_speed,relative_speed,tracker_id
,min,mean,max,std,min,mean,max,std,min,mean,max,std,min,mean,max,std,min,mean,max,std,count
danger_label,,,,,,,,,,,,,,,,,,,,,
0,5,33.32,78,15.11,-17.0,0.11,20.0,2.21,1.01,36.63,202.17,23.03,0.0,21.04,102.05,17.72,-50.21,-7.96,39.25,15.09,14745
1,40,87.25,198,22.27,-18.0,0.16,20.0,1.81,1.04,165.46,499.35,97.19,0.0,8.62,141.71,10.9,-6.21,45.21,146.79,22.0,4218
2,5,24.75,85,11.75,-20.0,-0.41,20.0,3.16,1.18,25.2,157.07,14.93,33.67,112.58,179.98,34.47,-48.79,-16.14,38.35,11.88,3581
